-1,-1,-1
-14,11,17
-14,11,17
-14,11,17
-13,11,17
-14,11,17
-14,11,17
-13,11,17
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,10,17
-14,10,17
-14,10,17
-14,10,18
-14,9,18
-14,10,18
-10,12,17
-10,12,18
-10,12,18
-10,13,18
-11,13,18
-11,14,18
-10,15,19
-10,15,19
-11,15,20
-12,16,21
-12,17,21
-15,17,20
-16,19,20
-15,15,17
-12,20,15
-10,19,16
-12,19,12
-13,20,12
-12,20,12
-13,21,15
-14,21,15
-15,23,15
-14,19,11
-15,18,10
-18,19,11
-18,19,13
-16,22,16
-18,23,12
-19,23,12
-20,26,12
-19,28,12
-10,28,6
-11,26,6
-11,26,6
-27,17,42
-17,18,2
-21,6,-12
-3,10,24
-10,16,24
-14,16,18
-15,8,14
-11,9,18
-8,11,18
-8,11,17
-6,11,16
-6,11,15
-6,12,13
-7,11,12
-9,11,14
-10,12,16
-9,13,17
-8,13,19
-7,15,21
-3,14,25
-2,14,25
-6,19,25
-5,11,26
-12,15,27
-23,19,22
-20,12,33
-21,11,35
-20,13,29
-17,17,24
-11,13,19
-11,10,12
-12,9,10
-12,9,10
-18,11,0
-19,13,-1
-19,13,0
-18,18,1
-18,18,2
-17,25,5
-17,35,15
-15,37,21
-15,35,39
-16,36,36
-26,27,28
-25,21,40
-19,16,25
-19,3,-8
-21,12,-7
-3,7,31
-7,13,23
-12,14,17
-18,9,13
-15,10,15
-13,11,16
-10,12,15
-11,12,15
-11,12,14
-9,12,15
-7,13,15
-7,11,16
-7,12,17
-7,12,17
-7,14,20
2,12,24
-4,17,25
-11,21,26
-12,16,26
-5,12,29
-22,14,22
-28,10,36
-28,9,37
-24,14,33
-22,17,31
-10,15,19
-5,10,6
-10,10,3
-12,10,2
-17,12,-1
-18,12,-1
-20,15,-1
-17,18,2
-15,23,4
-16,24,4
-19,31,13
-13,35,32
-15,35,42
-14,39,15
-17,39,3
-25,30,11
-14,16,18
-25,2,-15
-28,16,-14
-1,-3,23
0,2,40
-15,17,15
-19,6,10
-18,8,12
-12,9,16
-9,11,16
-8,15,14
-7,12,14
-8,15,14
-8,15,13
-8,13,14
-8,13,19
-8,17,20
-6,16,21
0,10,25
-2,14,26
-13,22,27
-4,16,26
-1,14,25
-1,14,25
-9,9,22
-24,8,33
-18,17,30
-15,17,27
-8,14,14
-6,13,11
-5,11,7
-11,11,3
-11,11,3
-14,11,1
-20,11,-1
-19,13,0
-17,17,3
-16,22,5
-14,24,8
-15,35,38
-17,34,37
-15,35,22
-18,34,0
-29,19,30
-31,21,42
-13,4,6
-23,15,-7
-13,7,-2
-2,14,39
-5,17,37
-16,14,16
-18,11,13
-15,10,14
-12,10,15
-8,14,14
-8,12,13
-7,14,13
-6,14,14
-6,12,14
-8,11,14
-10,14,19
-9,15,18
-8,14,18
1,12,23
-13,17,26
-16,14,31
-12,14,26
-16,14,24
-24,15,29
-28,11,32
-23,17,30
-10,17,19
-5,15,15
-3,14,9
-13,13,4
-16,11,2
-18,12,1
-22,14,0
-20,13,1
-17,16,2
-17,26,6
-16,26,8
-15,29,19
-14,31,24
-9,36,35
-14,40,16
-22,35,-3
-28,21,11
-37,20,36
-11,19,20
-19,7,5
-15,10,12
-11,15,31
-11,11,27
-18,10,14
-12,7,15
-9,7,16
-6,8,16
-10,8,17
-8,8,17
-5,6,16
-2,8,14
-2,9,17
-6,10,18
-8,10,17
-5,12,16
-5,11,21
-5,11,23
-4,12,27
-5,15,27
-7,16,26
-7,16,26
-8,16,25
-18,10,25
-17,15,36
-18,19,38
-21,19,31
-12,14,19
-3,12,14
-7,11,10
-15,11,1
-19,13,-2
-18,16,-3
-18,17,-3
-18,19,-3
-15,25,-1
-15,40,17
-12,41,27
-10,37,41
-12,34,39
-32,29,23
-32,23,46
-12,4,1
-16,-1,-6
-23,15,-4
-7,4,30
-12,14,19
-19,9,12
-17,10,13
-11,8,17
-9,8,17
-7,11,15
-6,10,15
-5,12,15
-5,12,16
-6,12,15
-10,10,16
-8,11,18
-6,12,18
-5,13,20
-5,12,21
-3,11,26
-11,23,26
-7,16,22
-6,17,22
-11,12,21
-11,12,21
-27,7,37
-28,16,29
-26,18,26
-18,14,23
-13,13,20
-9,10,7
-12,10,3
-18,13,-1
-20,14,0
-20,14,-1
-18,15,-1
-15,18,2
-14,25,4
-14,36,18
-13,37,24
-12,31,29
-11,34,18
-31,28,23
-36,23,53
-28,11,50
-16,2,-7
-14,4,5
-8,1,21
-8,14,42
-10,13,33
-20,12,11
-13,5,18
-9,8,17
-9,10,15
-8,10,15
-6,10,16
-4,10,14
-4,11,14
-5,11,16
-6,11,17
-9,13,17
-3,13,17
-3,12,19
-6,12,27
-11,15,27
-13,18,31
-12,19,32
-11,13,22
-22,15,28
-25,12,33
-26,13,33
-17,17,22
-7,13,16
-6,13,13
-11,12,8
-14,13,5
-15,14,1
-19,18,-2
-19,16,-1
-17,13,2
-17,14,2
-17,22,2
-15,31,9
-10,35,29
-11,35,33
-17,36,27
-17,36,20
-28,27,20
-21,10,38
-15,10,10
-27,15,-6
-25,17,-4
-4,3,33
-12,16,16
-15,13,13
-15,13,13
-16,8,16
-11,13,15
-8,11,16
-6,11,14
-6,13,15
-7,13,15
-10,13,15
-9,13,16
-5,13,18
-5,14,20
-3,12,27
-12,20,27
-12,15,27
-8,17,28
-13,13,22
-23,11,33
-28,10,36
-25,18,33
-21,19,27
-7,13,19
-1,11,12
-8,10,6
-12,12,-1
-17,13,-2
-19,12,0
-21,10,1
-18,14,3
-17,18,4
-16,29,6
-14,34,16
-12,33,31
-16,33,34
-16,36,14
-19,32,1
-29,19,30
-28,13,35
-18,4,9
-23,9,-2
-8,3,18
-9,12,30
-13,14,18
-19,8,14
-19,8,15
-14,9,16
-10,13,14
-7,12,14
-5,12,14
-4,13,14
-5,13,14
-9,12,16
-12,13,18
-10,15,20
-8,15,18
-2,12,24
-6,15,27
-16,14,29
-12,18,29
-10,13,22
-19,18,24
-23,6,30
-28,13,33
-24,19,32
-21,17,27
-8,12,17
-4,10,8
-11,11,3
-14,11,-3
-18,11,-2
-20,13,-2
-19,13,-1
-19,15,1
-18,19,2
-19,36,15
-17,41,30
-20,32,42
-20,36,24
-26,32,3
-28,25,33
-16,9,22
-23,8,-6
-21,16,-6
-3,1,37
-6,13,35
-17,13,13
-19,7,12
-15,5,17
-14,11,16
-11,13,15
-9,13,14
-7,11,13
-8,14,14
-8,12,14
-8,11,14
-11,14,18
-10,14,20
-6,13,21
-3,12,23
