-1,-1,-1
-1,-1,-1
-13,11,18
-13,11,18
-14,11,18
-14,11,18
-14,11,18
-13,11,18
-13,11,18
-13,11,17
-13,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-13,11,18
-13,11,17
-14,11,18
-13,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-13,11,18
-14,11,17
-14,11,18
-13,11,17
-13,10,18
-13,11,17
-13,11,17
-13,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-13,10,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,17
-14,11,17
-14,11,17
-14,10,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-13,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-13,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,12,17
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,10,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-13,10,17
-14,10,17
-14,10,17
-14,11,17
-14,10,17
-13,11,17
-13,10,17
-13,10,18
-11,11,18
-10,12,18
-9,14,20
-10,16,20
-8,18,20
-8,18,19
-9,17,18
-10,18,20
-11,23,22
-18,12,18
-13,15,17
-11,18,18
-6,22,20
-8,20,18
-14,17,9
-12,20,9
-11,21,10
-9,22,12
-9,23,13
-9,25,12
-9,25,11
-9,23,12
-9,24,12
-9,24,12
-8,25,12
-10,23,12
-11,22,11
-12,23,12
-11,25,13
-9,24,15
-7,24,11
-9,24,10
-10,26,17
-14,27,23
-18,31,34
-14,17,14
-15,14,6
-14,15,-1
-10,14,6
-5,12,24
-9,14,16
-14,13,17
-15,13,18
-15,15,18
-14,15,17
-11,13,18
-9,12,18
-8,12,18
-8,12,17
-9,13,18
-10,15,17
-12,15,17
-12,15,17
-12,16,17
-10,16,18
-11,17,18
-9,12,14
-9,11,16
-11,10,20
-13,10,24
-13,12,21
-17,12,14
-13,11,16
-7,11,18
-8,11,18
-9,11,18
-11,12,17
-12,12,17
-12,12,17
-12,13,18
-12,13,18
-13,12,18
-13,12,18
-14,13,17
-14,12,18
-15,12,18
-14,11,17
-14,11,17
-14,11,17
-14,12,17
-15,12,18
-15,12,18
-14,12,18
-14,11,18
-13,11,18
-13,11,18
-14,12,18
-13,12,17
-14,11,18
-14,11,18
-13,11,17
-13,11,18
-13,11,18
-13,11,17
-13,11,17
-14,11,17
-13,11,18
-13,11,17
-14,11,18
-13,11,17
-14,10,18
-14,11,18
-14,11,17
-14,11,18
-14,10,18
-14,10,18
-14,10,18
-14,11,17
-13,10,18
-13,10,18
-13,10,18
-13,10,17
-13,11,18
-13,10,18
-13,10,18
-13,10,17
-13,11,18
-13,11,17
-13,10,18
-13,10,17
-13,11,18
-13,11,17
-14,10,17
-14,10,18
-13,10,18
-13,11,18
-13,11,17
-14,11,17
-13,11,18
-13,10,18
-14,11,18
-14,10,17
-13,10,18
-13,11,17
-14,11,17
-14,10,18
-14,10,18
-14,10,17
-13,11,17
-13,11,17
-14,11,18
-13,11,18
-13,10,18
-14,11,18
-14,11,18
-14,10,18
-14,11,17
-14,11,18
-13,11,18
-13,11,18
-13,11,18
-13,11,18
-14,10,18
-14,11,18
-13,11,18
-13,11,18
-13,10,17
-13,11,17
-13,10,18
-14,11,18
-13,11,17
-13,10,18
-13,10,18
-14,11,17
-14,11,18
-13,11,18
-13,11,18
-13,10,18
-13,10,17
-13,11,17
-14,10,17
-13,10,18
-13,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-13,11,17
-14,11,17
-13,10,18
-14,11,17
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-13,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-13,11,17
-13,11,18
-14,11,18
-14,11,17
-14,11,18
-14,11,17
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,11,17
-14,11,18
-14,11,18
-14,11,18
-14,11,18
-14,11,17
-14,11,17
-14,10,17
-12,10,16
-12,10,18
-14,11,19
-14,11,18
-14,12,18
