1,-1,-1,-1
2,-1,-1,-1
3,-1,-1,-1
4,-11,9,15
5,-11,11,21
6,-11,9,17
7,-12,9,17
8,-14,11,18
9,-12,15,21
10,-10,14,20
11,-9,13,17
12,-10,13,16
13,-10,12,15
14,-10,11,16
15,-12,12,16
16,-12,12,18
17,-11,12,18
18,-9,12,18
19,-8,11,20
20,-8,11,21
21,-4,15,23
22,-5,11,26
23,-15,13,28
24,-18,17,25
25,-18,13,18
26,-17,11,17
27,-16,11,23
28,-16,10,24
29,-14,15,19
30,-13,14,19
31,-13,12,15
32,-13,11,14
33,-13,13,11
34,-13,14,10
35,-13,15,10
36,-13,15,9
37,-13,16,9
38,-14,17,8
39,-11,19,6
40,-9,22,7
41,-8,25,9
42,-2,34,20
43,-1,35,22
44,-6,30,20
45,-8,27,13
46,-18,28,30
47,-19,29,35
48,-13,6,11
49,-11,8,1
50,-8,5,9
51,-1,12,29
52,-2,17,29
53,-14,15,15
54,-15,9,16
55,-14,10,16
56,-11,11,16
57,-10,12,16
58,-10,10,15
59,-11,12,17
60,-11,12,16
61,-10,12,16
62,-11,12,17
63,-11,11,17
64,-10,13,18
65,-7,13,18
66,-4,12,19
67,-4,9,21
68,-5,13,26
69,-5,14,33
70,-3,15,31
71,-8,18,21
72,-17,15,18
73,-22,12,28
74,-19,14,34
75,-17,14,27
76,-14,17,21
77,-10,16,19
78,-7,12,13
79,-11,11,9
80,-13,13,9
81,-13,13,6
82,-14,13,5
83,-17,13,3
84,-15,15,4
85,-13,16,5
86,-9,20,5
87,-9,23,6
88,-6,35,18
89,-1,38,36
90,-6,33,23
91,-7,29,5
92,-17,26,23
93,-19,27,32
94,-9,10,16
95,-19,13,1
96,-7,-5,14
97,-1,17,30
98,-3,18,28
99,-15,14,15
100,-20,11,16
101,-14,12,18
102,-14,11,18
103,-10,11,13
104,-10,10,13
105,-10,9,16
106,-9,11,16
107,-9,12,16
108,-10,12,17
109,-10,12,17
110,-9,12,17
111,-6,12,19
112,-2,11,20
113,-1,9,21
114,-6,15,24
115,-9,17,26
116,-9,18,28
117,-8,13,27
118,-15,11,21
119,-22,12,26
120,-23,13,30
121,-18,14,27
122,-12,18,20
123,-8,17,17
124,-2,14,10
125,-3,13,9
126,-14,15,8
127,-14,14,9
128,-14,14,10
129,-15,13,9
130,-15,13,5
131,-14,16,5
132,-12,19,5
133,-8,22,6
134,-7,25,7
135,-4,36,14
136,-1,40,40
137,-5,33,21
138,-6,30,9
139,-19,30,20
140,-26,22,31
141,-19,17,12
142,-10,1,11
143,-6,-4,17
144,-2,15,24
145,-6,16,21
146,-20,14,17
147,-19,9,16
148,-17,10,16
149,-12,11,15
150,-10,12,14
151,-8,12,15
152,-6,11,16
153,-6,13,17
154,-7,12,17
155,-10,12,18
156,-12,11,18
157,-11,12,17
158,-9,13,17
159,-3,10,20
160,-4,10,24
161,-8,15,26
162,-9,19,31
163,-4,12,25
164,-6,12,21
165,-15,12,21
166,-18,12,23
167,-21,11,31
168,-15,16,26
169,-9,14,19
170,-6,13,17
171,-3,12,11
172,-5,12,11
173,-14,13,7
174,-16,13,7
175,-15,13,7
176,-14,13,5
177,-15,14,4
178,-11,16,3
179,-8,22,5
180,-8,26,8
181,-5,35,18
182,-4,37,23
183,-4,31,25
184,-7,27,4
185,-12,24,13
186,-19,21,24
187,-21,20,27
188,-11,4,17
189,-15,3,10
190,-14,6,14
191,-15,6,26
192,-17,11,23
193,-20,9,19
194,-18,8,19
195,-11,8,15
196,-9,7,14
197,-7,7,14
198,-
