2,1,-28
3,-1,-28
3,0,-27
2,1,-27
2,1,-28
2,-1,-28
2,-1,-28
2,-1,-28
2,1,-28
3,1,-28
3,1,-28
2,0,-28
2,0,-28
2,0,-28
3,1,-28
3,1,-28
2,1,-28
2,1,-28
3,0,-28
3,0,-28
2,0,-28
1,1,-28
2,1,-28
3,1,-28
4,2,-28
3,2,-28
1,3,-28
2,2,-28
3,1,-28
2,1,-28
1,1,-28
1,2,-28
1,3,-27
3,4,-28
3,3,-28
2,2,-27
1,3,-28
1,3,-28
1,3,-28
2,2,-28
2,2,-27
2,4,-27
2,4,-27
2,4,-27
3,4,-27
3,4,-28
4,4,-27
4,5,-26
3,7,-26
3,7,-26
3,6,-27
1,5,-27
1,5,-27
0,5,-27
0,5,-27
2,5,-26
3,4,-26
1,5,-26
2,5,-26
2,5,-26
2,5,-26
1,4,-27
1,4,-27
1,4,-28
1,2,-29
3,2,-28
2,3,-28
2,2,-27
0,3,-27
1,4,-28
3,3,-27
4,2,-28
5,2,-27
1,2,-28
-2,1,-29
-1,1,-28
0,1,-29
0,1,-28
0,0,-29
1,2,-28
1,4,-27
0,4,-28
2,-2,-28
2,-3,-28
0,-2,-28
-1,1,-28
-2,2,-28
-2,0,-29
-1,-2,-28
-1,-2,-29
-1,-2,-28
-2,0,-27
-2,0,-27
-1,0,-28
-1,-1,-29
0,-3,-30
1,-1,-28
3,0,-28
2,0,-27
0,0,-27
-1,-1,-27
-1,0,-28
0,0,-28
1,0,-28
0,0,-28
-1,-2,-28
-1,-2,-28
-1,0,-28
0,1,-27
1,1,-27
1,-2,-28
-1,-2,-28
0,-1,-28
0,2,-28
1,-1,-25
0,-1,-28
1,-5,-28
3,-2,-28
1,1,-27
0,1,-28
0,-1,-28
0,-2,-28
1,-1,-28
0,-1,-28
1,0,-28
1,0,-28
1,0,-27
1,0,-28
0,-1,-28
0,0,-28
0,0,-28
0,1,-27
0,1,-28
1,0,-28
1,0,-28
0,0,-28
0,0,-28
1,1,-28
1,1,-28
0,1,-28
0,0,-28
0,0,-28
0,1,-28
0,0,-28
0,0,-28
1,0,-28
1,1,-28
0,1,-28
1,1,-28
1,0,-28
1,0,-28
1,1,-28
1,2,-27
0,6,-28
0,10,-28
3,14,-30
5,13,-32
10,25,-32
8,36,-34
2,37,-39
1,38,-40
4,45,-40
7,47,-42
5,44,-46
3,34,-52
0,28,-53
-1,25,-55
-3,22,-54
-4,15,-49
-4,13,-44
-4,14,-41
-5,13,-38
-3,6,-31
-1,3,-26
-1,9,-22
-4,7,-23
